Gene Symbol,Gene ID,Interaction Count,Organism Count
RBPMS2,348093,3,1
RCAN1,1827,3,1
REL,5966,3,1
REPS2,9185,3,1
RESILIN,36880,3,1
RET,5979,3,2
RGN,9104,3,2
RGS16,6004,3,1
RH4,39887,3,1
RHPN2,85415,3,1
RIGI,23586,3,1
RIPOR2,9750,3,1
RNF128,79589,3,2
RNF166,115992,3,1
RNF19B,127544,3,2
RNF213,57674,3,1
RNMT,8731,3,1
RORC,6097,3,2
RPL19,6143,3,2
RPL23A,6147,3,2
RPL29,6159,3,2
RPL3,6122,3,3
RPL31,6160,3,2
RPL36A,6173,3,2
RPS14,6208,3,2
RPS6KA1,6195,3,1
RPS6KA4,8986,3,2
RSAD2,91543,3,1
RYR3,6263,3,2
S100A9,6280,3,2
S1PR1,1901,3,1
S1PR3,1903,3,1
SAMD9,54809,3,1
SAMHD1,25939,3,1
SAMSN1,64092,3,1
SATB2,23314,3,2
SAV1,60485,3,1
SBNO2,22904,3,2
SCARB1,949,3,2
SCD,6319,3,3
SCG2,7857,3,1
SCTR,6344,3,2
SEC24D,9871,3,2
SECTM1,6398,3,1
SEH1L,81929,3,1
SELPLG,6404,3,1
SEMA4D,10507,3,1
SEMA4G,57715,3,2
SEMA6D,80031,3,1
SERBP1,26135,3,3
SERHL2,253190,3,2
SERPINA1,5265,3,1
SERPINA3,12,3,1
SERPINB3,6317,3,1
SERPINB9,5272,3,1
SERPINB9P1,221756,3,1
SERPINC1,462,3,2
SERPINH1,871,3,1
SESN1,27244,3,2
SFN,2810,3,2
SGMS2,166929,3,1
